release_year,total_revenue,average_revenue
1937-12-20,184925486,184925486.0
1939-08-15,33754967,33754967.0
1940-11-13,83320000,83320000.0
1942-08-14,267447150,267447150.0
1962-10-04,59600000,59600000.0
1963-10-11,78898765,78898765.0
1964-07-06,12299668,12299668.0
1964-09-17,124881062,124881062.0
1965-12-16,141195658,141195658.0
1966-12-23,6000000,6000000.0
1967-06-12,111584787,111584787.0
1969-12-12,81974493,81974493.0
1970-07-17,40000000,40000000.0
1971-04-23,15200000,15200000.0
1971-12-13,116019547,116019547.0
1972-03-14,245066411,245066411.0
1973-07-05,161777836,161777836.0
1973-12-26,441306145,441306145.0
1974-12-01,97572000,97572000.0
1975-03-13,5028948,5028948.0
1975-06-18,470654000,470654000.0
1977-05-25,775398007,775398007.0
1977-07-07,185438673,185438673.0
1978-05-01,321952,321952.0
1978-07-27,141000000,141000000.0
1978-10-25,70000000,70000000.0
1979-05-25,104931801,104931801.0
1979-06-26,210308099,210308099.0
1979-08-15,89460381,89460381.0
1980-02-08,21378361,21378361.0
1980-05-17,538400000,538400000.0
1980-06-06,4865000,4865000.0
1981-05-22,50244700,50244700.0
1981-06-12,389925971,389925971.0
1981-06-23,195312802,195312802.0
1981-09-16,85000000,85000000.0
1981-11-12,2000000,2000000.0
1982-04-03,792910554,792910554.0
1982-06-25,52769378,26384689.0
1983-05-23,572700000,572700000.0
1983-06-03,79567667,79567667.0
1983-06-05,187500000,187500000.0
1983-10-07,160000000,160000000.0
1984-05-23,333000000,333000000.0
1984-10-26,78371200,78371200.0
1985-05-24,152427960,152427960.0
1985-06-21,11137801,11137801.0
1985-07-03,381109762,381109762.0
1986-05-30,11000000,11000000.0
1987-06-24,38119483,38119483.0
1987-06-29,191185897,191185897.0
1988-07-08,7282851,7282851.0
1988-07-16,553171,553171.0
1988-11-23,13008928,13008928.0
1989-02-17,40485039,40485039.0
1989-05-24,474171806,474171806.0
1989-07-07,156167015,156167015.0
1989-11-20,332000000,332000000.0
1990-03-02,199200000,199200000.0
1990-05-25,244527583,244527583.0
1990-09-12,46836394,46836394.0
1990-11-09,476684675,476684675.0
1990-12-24,136766062,136766062.0
1991-08-23,7434726,7434726.0
1992-02-28,14358033,14358033.0
1992-09-02,62548947,62548947.0
1992-11-25,504050219,504050219.0
1993-06-11,920100000,920100000.0
1993-07-23,27515786,27515786.0
1993-11-29,321365567,321365567.0
1994-02-25,0,0.0
1994-03-09,254700832,254700832.0
1994-06-23,788241776,788241776.0
1994-09-02,3049135,3049135.0
1994-09-13,3151130,3151130.0
1995-04-26,28215918,28215918.0
1995-07-19,23341568,23341568.0
1995-09-22,327311859,327311859.0
1995-10-27,49800000,49800000.0
1995-11-16,352194034,352194034.0
1996-01-19,25836616,25836616.0
1996-02-23,16491080,16491080.0
1996-05-22,457696359,457696359.0
1996-06-21,242295562,242295562.0
1996-08-09,42277365,42277365.0
1996-10-31,147298761,147298761.0
1996-11-06,41590886,41590886.0
1996-11-15,250200000,250200000.0
1996-11-21,150000000,150000000.0
1996-12-12,101371017,101371017.0
1996-12-14,141047179,141047179.0
1997-04-04,12021272,12021272.0
1997-07-02,589390539,589390539.0
1997-07-11,171120329,171120329.0
1997-08-01,900000,900000.0
1997-08-15,44862187,44862187.0
1997-08-22,302204,302204.0
1997-09-06,0,0.0
1997-11-18,1845034188,1845034188.0
1997-12-05,225933435,225933435.0
1997-12-11,333011068,333011068.0
1998-02-13,13100000,13100000.0
1998-03-05,3897569,3897569.0
1998-03-06,46189568,46189568.0
1998-04-15,0,0.0
1998-07-10,3221152,3221152.0
1998-07-15,369884651,369884651.0
1998-08-21,131183530,131183530.0
1998-10-23,14567883,14567883.0
1998-10-30,23875127,23875127.0
1998-11-12,142940100,142940100.0
1998-11-25,363258859,363258859.0
1998-12-17,250821495,250821495.0
1999-01-01,0,0.0
1999-01-22,30471,30471.0
1999-02-11,0,0.0
1999-03-30,463517383,463517383.0
1999-04-21,10409377,10409377.0
1999-04-29,212404396,212404396.0
1999-05-13,363889678,363889678.0
1999-05-19,924317558,924317558.0
1999-07-14,410091208,205045604.0
1999-08-06,23159305,23159305.0
1999-09-02,11540607,11540607.0
1999-09-15,356296601,356296601.0
1999-10-08,10508,10508.0
1999-10-15,100853753,100853753.0
1999-10-30,497366869,497366869.0
1999-11-08,361832400,361832400.0
1999-11-12,49306505,24653252.5
1999-11-24,211989043,211989043.0
1999-12-08,48451803,48451803.0
1999-12-10,284600000,284600000.0
1999-12-22,47434430,47434430.0
1999-12-25,128798265,128798265.0
2000-01-14,0,0.0
2000-02-18,53187659,53187659.0
2000-03-17,256271286,256271286.0
2000-04-07,12372410,12372410.0
2000-04-20,127666415,127666415.0
2000-04-27,0,0.0
2000-04-28,59468275,59468275.0
2000-05-24,546388105,546388105.0
2000-07-07,69700000,69700000.0
2000-07-08,68411275,68411275.0
2000-07-19,5217498,5217498.0
2000-07-31,128884132,128884132.0
2000-08-25,90449929,90449929.0
2000-09-09,15250000,15250000.0
2000-09-29,136706683,136706683.0
2000-10-11,39723096,39723096.0
2000-11-17,345141403,345141403.0
2000-12-08,215663859,215663859.0
2000-12-11,0,0.0
2001-01-12,18195610,18195610.0
2001-01-20,1667192,1667192.0
2001-03-13,79958599,79958599.0
2001-04-25,173921954,173921954.0
2001-05-15,29700000,29700000.0
2001-05-16,484409218,484409218.0
2001-06-02,186053725,186053725.0
2001-07-04,93375151,93375151.0
2001-07-20,274925095,274925095.0
2001-08-07,13596911,13596911.0
2001-08-24,14010832,14010832.0
2001-09-07,12000000,12000000.0
2001-10-22,50315140,50315140.0
2001-11-01,562816256,562816256.0
2001-11-16,976475550,976475550.0
2001-12-07,450717150,450717150.0
2001-12-11,313542341,313542341.0
2001-12-18,871368364,871368364.0
2001-12-21,31155435,31155435.0
2002-01-25,41227069,41227069.0
2002-02-05,30641770,30641770.0
2002-02-06,78382433,78382433.0
2002-03-04,123729176,123729176.0
2002-03-10,383257136,383257136.0
2002-03-15,102984862,102984862.0
2002-03-22,155010032,155010032.0
2002-04-11,76578641,76578641.0
2002-04-12,68696770,68696770.0
2002-04-16,165333180,165333180.0
2002-04-26,129000000,129000000.0
2002-05-01,821708551,821708551.0
2002-05-03,0,0.0
2002-05-10,0,0.0
2002-05-15,649398328,649398328.0
2002-05-24,51801187,51801187.0
2002-05-31,193000000,193000000.0
2002-06-14,214034224,214034224.0
2002-07-03,441818803,441818803.0
2002-07-26,296655431,148327715.5
2002-08-09,277448382,277448382.0
2002-09-06,34411240,34411240.0
2002-09-24,120072577,120072577.0
2002-10-01,0,0.0
2002-10-02,0,0.0
2002-10-09,35564473,35564473.0
2002-11-08,215000000,215000000.0
2002-11-17,431971116,431971116.0
2002-12-06,32801173,32801173.0
2002-12-13,0,0.0
2002-12-14,193772504,193772504.0
2002-12-18,926287400,926287400.0
2002-12-25,352114312,352114312.0
2003-01-19,0,0.0
2003-01-23,7808524,7808524.0
2003-01-31,0,0.0
2003-02-09,79384880,79384880.0
2003-02-21,87055349,87055349.0
2003-03-21,75715436,75715436.0
2003-04-04,44350926,44350926.0
2003-04-11,16829545,16829545.0
2003-04-25,55534455,55534455.0
2003-05-18,22441323,22441323.0
2003-05-23,484572835,484572835.0
2003-05-30,1116405707,558202853.5
2003-06-06,3031801,3031801.0
2003-06-16,15368897,15368897.0
2003-07-09,655011224,655011224.0
2003-07-22,148336445,148336445.0
2003-08-01,7266209,3633104.5
2003-08-08,116643346,116643346.0
2003-08-15,6003587,6003587.0
2003-09-06,60427839,60427839.0
2003-09-07,244931766,244931766.0
2003-09-09,0,0.0
2003-09-19,95708457,95708457.0
2003-09-26,80916492,80916492.0
2003-10-03,131282949,131282949.0
2003-10-10,180949000,90474500.0
2003-11-14,212011111,212011111.0
2003-11-21,141591324,141591324.0
2003-11-26,76488889,76488889.0
2003-12-01,1118888979,1118888979.0
2004-01-13,98410061,98410061.0
2004-01-15,603943,603943.0
2004-01-16,171963386,171963386.0
2004-01-18,0,0.0
2004-02-10,15992615,15992615.0
2004-02-25,611899420,611899420.0
2004-03-19,174614507,87307253.5
2004-04-02,203270448,101635224.0
2004-04-09,27388767,27388767.0
2004-04-15,54700105,54700105.0
2004-04-30,129042871,129042871.0
2004-05-07,21148829,21148829.0
2004-05-19,919838758,919838758.0
2004-05-20,19271312,19271312.0
2004-05-26,544272402,544272402.0
2004-06-17,219417255,219417255.0
2004-06-25,899369570,449684785.0
2004-07-02,0,0.0
2004-07-10,70067909,70067909.0
2004-07-23,288500217,288500217.0
2004-08-10,14867514,14867514.0
2004-08-12,171183863,171183863.0
2004-08-27,9109322,9109322.0
2004-09-06,56422687,56422687.0
2004-09-08,92180910,92180910.0
2004-09-11,38000000,19000000.0
2004-09-14,0,0.0
2004-09-17,57958696,57958696.0
2004-10-08,424760,424760.0
2004-10-10,50907422,50907422.0
2004-10-15,170128460,170128460.0
2004-10-22,109502303,109502303.0
2004-11-05,631442092,631442092.0
2004-11-09,9584131,9584131.0
2004-11-12,61347797,61347797.0
2004-11-24,3347647,3347647.0
2004-12-03,28818995,28818995.0
2004-12-08,128905366,128905366.0
2004-12-09,362744280,362744280.0
2004-12-15,216763646,216763646.0
2004-12-22,516642939,516642939.0
2005-01-06,80578934,80578934.0
2005-01-13,56681566,56681566.0
2005-01-14,7022209,7022209.0
2005-01-23,0,0.0
2005-01-26,127392239,127392239.0
2005-02-01,2455831,2455831.0
2005-02-02,50871113,50871113.0
2005-02-04,114367897,57183948.5
2005-02-12,25224242,25224242.0
2005-03-04,113006880,113006880.0
2005-04-01,158733820,158733820.0
2005-04-08,162944923,162944923.0
2005-04-22,0,0.0
2005-04-27,71073932,71073932.0
2005-05-03,211643158,211643158.0
2005-05-13,852872,852872.0
2005-05-15,5989640,5989640.0
2005-05-17,850000000,850000000.0
2005-06-02,108539911,108539911.0
2005-06-10,443644639,221822319.5
2005-06-17,0,0.0
2005-07-13,474968763,474968763.0
2005-07-17,0,0.0
2005-07-20,162949164,162949164.0
2005-07-22,0,0.0
2005-07-29,110173123,55086561.5
2005-08-05,110803676,110803676.0
2005-08-11,201823911,100911955.5
2005-08-18,9879971,9879971.0
2005-08-26,1046166,1046166.0
2005-08-31,0,0.0
2005-09-02,178043761,178043761.0
2005-09-04,192452832,192452832.0
2005-09-09,135813345,67906672.5
2005-09-11,5967038,5967038.0
2005-09-16,175747947,87873973.5
2005-09-30,49084830,49084830.0
2005-10-22,2405420,2405420.0
2005-10-24,142400065,142400065.0
2005-11-04,314432665,314432665.0
2005-11-05,895921036,895921036.0
2005-11-11,57479076,57479076.0
2005-11-23,125670620,62835310.0
2005-12-06,162242962,162242962.0
2005-12-15,0,0.0
2005-12-16,51053787,51053787.0
2005-12-21,202026112,202026112.0
2005-12-23,13350369,13350369.0
2006-01-06,9500000,9500000.0
2006-01-12,111340801,111340801.0
2006-01-20,0,0.0
2006-01-24,46243000,23121500.0
2006-02-03,66966987,66966987.0
2006-02-24,0,0.0
2006-03-03,54077060,27038530.0
2006-03-09,61112916,61112916.0
2006-03-10,69623713,69623713.0
2006-03-15,132511035,132511035.0
2006-03-16,85582407,85582407.0
2006-03-23,845317034,422658517.0
2006-03-30,0,0.0
2006-04-21,97607453,97607453.0
2006-04-27,0,0.0
2006-04-28,18948425,18948425.0
2006-05-03,397850012,397850012.0
2006-05-12,181674817,181674817.0
2006-05-15,374743,374743.0
2006-05-17,767820459,767820459.0
2006-05-19,0,0.0
2006-05-20,5179037,5179037.0
2006-05-24,60474340,60474340.0
2006-05-25,7659918,7659918.0
2006-05-27,83258226,83258226.0
2006-06-01,204999686,204999686.0
2006-06-03,158468292,158468292.0
2006-06-08,461983149,461983149.0
2006-06-16,195028104,97514052.0
2006-06-20,1065659812,1065659812.0
2006-06-30,326551094,326551094.0
2006-07-14,130431368,130431368.0
2006-07-20,0,0.0
2006-07-21,140175006,140175006.0
2006-07-26,100523181,100523181.0
2006-07-27,175255673,58418557.666666664
2006-08-04,164645051,82322525.5
2006-08-11,34819410,17409705.0
2006-08-30,2281089,2281089.0
2006-08-31,101595121,101595121.0
2006-09-06,15304890,15304890.0
2006-09-07,426224,426224.0
2006-09-09,53653224,53653224.0
2006-09-10,9450897,9450897.0
2006-09-12,8176544,8176544.0
2006-09-13,132180323,132180323.0
2006-09-14,38085778,38085778.0
2006-09-15,123384128,61692064.0
2006-09-22,69959751,69959751.0
2006-09-29,207487358,103743679.0
2006-10-02,13401952,13401952.0
2006-10-05,289847354,289847354.0
2006-10-13,52535013,26267506.5
2006-10-18,0,0.0
2006-10-19,109676311,109676311.0
2006-10-22,64459316,64459316.0
2006-11-01,261572744,261572744.0
2006-11-14,599045960,599045960.0
2006-11-16,384335608,384335608.0
2006-12-08,210987454,70329151.33333333
2006-12-09,479714314,239857157.0
2006-12-14,249288105,249288105.0
2006-12-19,68673228,68673228.0
2006-12-20,155721132,155721132.0
2006-12-21,0,0.0
2006-12-25,204407584,102203792.0
2007-01-01,18928871,9464435.5
2007-01-05,41170784,41170784.0
2007-01-23,0,0.0
2007-02-02,69485490,69485490.0
2007-02-06,82169884,82169884.0
2007-02-09,2426897,1213448.5
2007-02-14,80573774,80573774.0
2007-02-16,366325456,183162728.0
2007-02-23,77566815,77566815.0
2007-03-02,290937099,145468549.5
2007-03-03,0,0.0
2007-03-22,95696996,95696996.0
2007-03-23,42932821,21466410.5
2007-04-05,62771059,62771059.0
2007-04-10,30448000,30448000.0
2007-04-12,117760134,117760134.0
2007-04-16,17500000,17500000.0
2007-04-30,274661,274661.0
2007-05-01,896633543,448316771.5
2007-05-17,798958165,798958165.0
2007-05-19,983730842,491865421.0
2007-06-01,219076518,219076518.0
2007-06-07,311312624,311312624.0
2007-06-08,149044513,149044513.0
2007-06-09,173000000,173000000.0
2007-06-10,0,0.0
2007-06-22,623722818,623722818.0
2007-06-27,709709780,709709780.0
2007-06-28,938212738,938212738.0
2007-07-04,69307224,69307224.0
2007-07-12,94679598,94679598.0
2007-07-13,90450008,90450008.0
2007-07-25,619669901,309834950.5
2007-07-27,1431623,1431623.0
2007-08-03,442824138,221412069.0
2007-08-08,18197398,18197398.0
2007-08-09,135560026,135560026.0
2007-08-17,121463226,121463226.0
2007-08-22,86658558,86658558.0
2007-08-31,29541790,29541790.0
2007-09-02,14711793,14711793.0
2007-09-03,0,0.0
2007-09-06,103016220,51508110.0
2007-09-07,24748670,24748670.0
2007-09-11,56255142,56255142.0
2007-09-14,248468156,82822718.66666667
2007-09-20,148965263,74482631.5
2007-09-21,59192128,59192128.0
2007-09-26,2849142,2849142.0
2007-09-28,240872378,120436189.0
2007-10-01,4174187,1391395.6666666667
2007-10-04,4607608,4607608.0
2007-10-12,11293663,5646831.5
2007-10-14,73276047,73276047.0
2007-10-17,75505973,75505973.0
2007-10-20,7938872,7938872.0
2007-10-25,139352633,139352633.0
2007-10-28,287594577,287594577.0
2007-11-02,266465037,266465037.0
2007-11-05,195735876,195735876.0
2007-11-20,340487652,340487652.0
2007-11-21,223183969,74394656.33333333
2007-11-29,0,0.0
2007-12-04,372234864,372234864.0
2007-12-05,231411584,231411584.0
2007-12-13,361366633,361366633.0
2007-12-14,585349010,585349010.0
2007-12-19,119000410,119000410.0
2007-12-21,18317151,9158575.5
2007-12-25,217169568,108584784.0
2008-01-01,0,0.0
2008-01-04,0,0.0
2008-01-10,160259319,160259319.0
2008-01-15,170764026,170764026.0
2008-01-18,16174377,16174377.0
2008-01-22,32483410,32483410.0
2008-01-24,84646831,84646831.0
2008-01-30,113020255,113020255.0
2008-02-01,207471257,69157085.66666667
2008-02-07,111231041,55615520.5
2008-02-08,89981751,44990875.5
2008-02-10,222231186,222231186.0
2008-02-15,0,0.0
2008-02-22,0,0.0
2008-02-28,33472850,33472850.0
2008-03-04,41627431,41627431.0
2008-03-11,19000000,19000000.0
2008-03-20,23311391,11655695.5
2008-03-24,41299492,41299492.0
2008-03-27,69823199,69823199.0
2008-03-28,11207130,11207130.0
2008-04-10,14796236,14796236.0
2008-04-17,105173115,105173115.0
2008-04-18,127906624,127906624.0
2008-04-23,63833449,63833449.0
2008-04-24,0,0.0
2008-04-25,43493123,43493123.0
2008-04-28,1296184,1296184.0
2008-04-30,585174222,585174222.0
2008-05-09,93945766,93945766.0
2008-05-12,377910544,377910544.0
2008-05-21,786636033,786636033.0
2008-06-04,631744560,631744560.0
2008-06-05,201596308,201596308.0
2008-06-11,163403799,163403799.0
2008-06-17,0,0.0
2008-06-19,488955461,244477730.5
2008-06-20,41819064,41819064.0
2008-06-22,521311860,521311860.0
2008-07-01,1025158010,512579005.0
2008-07-02,0,0.0
2008-07-03,7400000,7400000.0
2008-07-08,50650079,50650079.0
2008-07-10,127814609,127814609.0
2008-07-16,1004558444,1004558444.0
2008-07-17,63800345,63800345.0
2008-07-18,0,0.0
2008-07-25,2957978,2957978.0
2008-08-06,105665431,52832715.5
2008-08-07,3533227,3533227.0
2008-08-09,188072649,188072649.0
2008-08-20,80871498,40435749.0
2008-08-21,42487390,42487390.0
2008-08-22,144205456,72102728.0
2008-08-29,14109284,14109284.0
2008-09-04,25739015,25739015.0
2008-09-05,0,0.0
2008-09-07,44703995,14901331.666666666
2008-09-09,36679092,18339546.0
2008-09-11,73174566,73174566.0
2008-09-17,38105395,38105395.0
2008-09-18,42105111,42105111.0
2008-09-19,36620508,36620508.0
2008-09-26,33456317,33456317.0
2008-10-01,0,0.0
2008-10-03,7000000,3500000.0
2008-10-07,17869048,17869048.0
2008-10-09,2260712,2260712.0
2008-10-10,155280098,77640049.0
2008-10-15,85416905,85416905.0
2008-10-16,18755936,18755936.0
2008-10-17,36179886,18089943.0
2008-10-30,1189991081,594995540.5
2008-10-31,0,0.0
2008-11-05,382174,382174.0
2008-11-17,530048,530048.0
2008-11-20,392616625,392616625.0
2008-11-21,309979994,309979994.0
2008-11-24,333932083,333932083.0
2008-11-26,54586584,54586584.0
2008-12-04,8936663,8936663.0
2008-12-05,10089373,10089373.0
2008-12-09,269958228,269958228.0
2008-12-10,107559,107559.0
2008-12-11,57490374,57490374.0
2008-12-18,168167691,168167691.0
2008-12-19,50877145,50877145.0
2008-12-24,140987,140987.0
2008-12-25,283113713,141556856.5
2009-01-01,0,0.0
2009-01-06,51416464,51416464.0
2009-01-09,193162173,64387391.0
2009-01-15,183293131,183293131.0
2009-01-16,100734718,100734718.0
2009-01-30,29010817,29010817.0
2009-02-03,60161391,60161391.0
2009-02-05,124596398,124596398.0
2009-02-06,197714717,98857358.5
2009-02-07,0,0.0
2009-02-09,0,0.0
2009-03-04,27409889,27409889.0
2009-03-05,185258983,185258983.0
2009-03-11,136267476,136267476.0
2009-03-13,32721635,32721635.0
2009-03-15,800638354,400319177.0
2009-03-16,0,0.0
2009-03-19,614236558,153559139.5
2009-03-20,91636986,91636986.0
2009-03-22,0,0.0
2009-04-01,36348784,36348784.0
2009-04-03,17164377,17164377.0
2009-04-10,155545279,155545279.0
2009-04-16,34560577,34560577.0
2009-04-17,87784194,87784194.0
2009-04-22,0,0.0
2009-04-24,31720158,15860079.0
2009-04-28,373062864,373062864.0
2009-05-16,0,0.0
2009-05-17,39041505,39041505.0
2009-05-20,784459171,392229585.5
2009-06-01,317485228,158742614.0
2009-06-05,459270619,459270619.0
2009-06-11,150166126,150166126.0
2009-06-12,9760104,9760104.0
2009-06-19,871395043,217848760.75
2009-06-26,95714875,95714875.0
2009-06-29,886686817,886686817.0
2009-07-01,214104620,214104620.0
2009-07-07,933959197,933959197.0
2009-07-10,0,0.0
2009-07-17,60722734,60722734.0
2009-07-21,292817841,292817841.0
2009-07-24,205298907,205298907.0
2009-07-29,2277396,2277396.0
2009-07-31,119340038,59670019.0
2009-08-04,302469017,302469017.0
2009-08-05,210819611,210819611.0
2009-08-06,134751487,67375743.5
2009-08-13,29000000,29000000.0
2009-08-18,319131050,319131050.0
2009-08-20,295750,295750.0
2009-08-21,6405245,6405245.0
2009-08-26,186167139,186167139.0
2009-08-28,39421467,39421467.0
2009-09-01,10000,10000.0
